"pict","type","DTF","ColDTF","ShaDTF","ArrDTF","DTAF","ColDTAF","ShaDTAF","ArrDTAF","DTAN","ColDTAN","ShaDTAN","ArrDTAN","DTN_byPhase","ColDTN_bP","ShaDTN_bP","ArrDTN_bP","phase","DTN","prototype_nr","NCA_DCO"
"p10sarr1","diffarr",18,7,7,4,17.6,6.8,6.4,4.4,14.8421052631579,5.94736842105263,5.52631578947368,3.36842105263158,14.7777777777778,6,5.22222222222222,3.55555555555556,"study",17.020202020202,NA,NA
"p10sarr2","diffarr",17,7,6,4,17.2,6.4,6.4,4.4,14.9473684210526,5.84210526315789,5.73684210526316,3.36842105263158,15.2222222222222,5.77777777777778,5.88888888888889,3.55555555555556,"study",16.9090909090909,NA,NA
"p10sarr3","diffarr",18,7,7,4,17.8,6.4,7,4.4,14.8421052631579,5.89473684210526,5.57894736842105,3.36842105263158,15.3333333333333,6.44444444444444,5.33333333333333,3.55555555555556,"test",17.1313131313131,NA,NA
"p10sarr4","diffarr",17,7,6,4,17.6,6.6,6.6,4.4,14.7894736842105,6,5.42105263157895,3.36842105263158,15.7777777777778,6.44444444444444,5.77777777777778,3.55555555555556,"test",17.0505050505051,NA,NA
"p1sarr1","sarr",8,5,3,0,13.8,6,5,2.8,13.7894736842105,5.94736842105263,4.89473684210526,2.94736842105263,14.3333333333333,6.11111111111111,5.11111111111111,3.11111111111111,"study",14.2222222222222,"1","32"
"p1sarr2","sarr",8,4,4,0,14.2,5.6,5.8,2.8,14.3684210526316,5.78947368421053,5.63157894736842,2.94736842105263,14.7777777777778,6,5.66666666666667,3.11111111111111,"study",14.6464646464646,"1","32"
"p1sarr3","sarr",7,4,3,0,13.4,5.6,5,2.8,13.7894736842105,5.94736842105263,4.89473684210526,2.94736842105263,14.3333333333333,6.22222222222222,5,3.11111111111111,"test",14.1515151515152,"1","28"
"p1sarr4","sarr",8,4,4,0,13.4,5.6,5,2.8,14.6315789473684,5.89473684210526,5.78947368421053,2.94736842105263,15.1111111111111,6,6,3.11111111111111,"test",14.3737373737374,"1","32"
"p1sarrcol1","sarrcol",4,0,4,0,13,5.2,5,2.8,13.5789473684211,5.47368421052632,5.15789473684211,2.94736842105263,14.1111111111111,5.77777777777778,5.22222222222222,3.11111111111111,"study",14.2020202020202,"1","16"
"p1sarrcol2","sarrcol",3,0,3,0,12.8,5.2,4.8,2.8,13.8421052631579,5.47368421052632,5.42105263157895,2.94736842105263,14.4444444444444,5.77777777777778,5.55555555555556,3.11111111111111,"study",14.1515151515152,"1","12"
"p1sarrcol3","sarrcol",4,0,4,0,14,5.2,6,2.8,14,5.47368421052632,5.57894736842105,2.94736842105263,14.4444444444444,5.77777777777778,5.55555555555556,3.11111111111111,"test",14.6262626262626,"1","16"
"p1sarrcol4","sarrcol",5,0,5,0,14,5.2,6,2.8,13.8421052631579,5.47368421052632,5.42105263157895,2.94736842105263,14.4444444444444,5.77777777777778,5.55555555555556,3.11111111111111,"test",14.7676767676768,"1","20"
"p1sarrsha1","sarrsha",4,4,0,0,13,5.8,4.4,2.8,13.2105263157895,5.63157894736842,4.63157894736842,2.94736842105263,13.8888888888889,5.88888888888889,4.88888888888889,3.11111111111111,"study",14.0505050505051,"1","16"
"p1sarrsha2","sarrsha",4,4,0,0,13,5.8,4.4,2.8,13.5789473684211,6,4.63157894736842,2.94736842105263,14.2222222222222,6.22222222222222,4.88888888888889,3.11111111111111,"study",14.2020202020202,"1","16"
"p1sarrsha3","sarrsha",4,4,0,0,12.8,5.6,4.4,2.8,13.6842105263158,6.10526315789474,4.63157894736842,2.94736842105263,14.3333333333333,6.33333333333333,4.88888888888889,3.11111111111111,"test",14.0808080808081,"1","16"
"p1sarrsha4","sarrsha",4,4,0,0,12.6,5.4,4.4,2.8,13.3157894736842,5.73684210526316,4.63157894736842,2.94736842105263,13.8888888888889,5.88888888888889,4.88888888888889,3.11111111111111,"test",14.020202020202,"1","16"
"p1sarrshacol1","sarrshacol",5,5,0,0,13.2,6,4.4,2.8,13.3684210526316,5.78947368421053,4.63157894736842,2.94736842105263,13.8888888888889,5.88888888888889,4.88888888888889,3.11111111111111,"study",14.0909090909091,"1","20"
"p1sarrshacol2","sarrshacol",3,3,0,0,12.8,5.6,4.4,2.8,13.3684210526316,5.78947368421053,4.63157894736842,2.94736842105263,13.7777777777778,5.77777777777778,4.88888888888889,3.11111111111111,"study",13.979797979798,"1","12"
"p1sarrshacol3","sarrshacol",4,4,0,0,13,5.8,4.4,2.8,13.4736842105263,5.89473684210526,4.63157894736842,2.94736842105263,14.1111111111111,6.11111111111111,4.88888888888889,3.11111111111111,"test",14.040404040404,"1","16"
"p1sarrshacol4","sarrshacol",4,4,0,0,13.2,6,4.4,2.8,13.5789473684211,6,4.63157894736842,2.94736842105263,14,6,4.88888888888889,3.11111111111111,"test",14.2626262626263,"1","16"
"p2sarr1","sarr",9,5,4,0,11,4.8,4.6,1.6,11.2105263157895,5.31578947368421,4.21052631578947,1.68421052631579,11.5555555555556,5.22222222222222,4.55555555555556,1.77777777777778,"study",12.6262626262626,"4","33"
