"","X","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",142,3,5,2,1,4,0,0,0,0,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"sqa5.png",5,1,"sqa",-120,0,"tri3.png",3,1,"tri",120,-120,"sqa4.png",4,1,"sqa",-120,-120,"cir3.png",3,1,"cir",0,0,"tri4.png",4,1,"tri",0,-120,"",NA,"",NA,NA,"right","left",1046,1619,1,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"2",143,0,3,0,1,5,2,4,0,0,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"sqa5.png",5,1,"sqa",-120,0,"tri4.png",4,1,"tri",120,0,"tri4.png",4,1,"tri",0,-120,"sqa2.png",2,1,"sqa",-120,120,"cir1.png",1,1,"cir",0,0,"",NA,"",NA,NA,"right","left",1046,1619,2,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"3",144,0,0,0,3,1,2,4,5,0,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"tri3.png",3,1,"tri",0,0,"sqa1.png",1,1,"sqa",120,0,"cir5.png",5,1,"cir",-120,0,"sqa4.png",4,1,"sqa",-120,120,"tri3.png",3,1,"tri",0,120,"",NA,"",NA,NA,"right","left",1046,1619,3,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"4",145,3,0,0,5,1,4,0,0,2,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"tri5.png",5,1,"tri",0,0,"cir4.png",4,1,"cir",120,120,"tri4.png",4,1,"tri",-120,-120,"cir3.png",3,1,"cir",120,0,"sqa3.png",3,1,"sqa",-120,0,"",NA,"",NA,NA,"right","left",1046,1619,4,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"5",287,0,2,4,5,1,3,NA,0,0,0,19,59,79,"09-10-23","17:58:11","",728,"sqa2.png",2,1,"sqa",0,0,"tri1.png",1,1,"tri",0,-120,"sqa3.png",3,1,"sqa",120,0,"tri2.png",2,1,"tri",120,-120,"cir4.png",4,1,"cir",-120,0,"tri0.png",1,"tri",-120,120,"left","left",1209,2272,1,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"6",288,0,2,5,4,0,NA,3,0,1,0,19,59,79,"09-10-23","17:58:11","",728,"sqa1.png",1,1,"sqa",120,120,"sqa3.png",3,1,"sqa",0,-120,"tri6.png",6,1,"tri",-120,120,"cir4.png",4,1,"cir",-120,0,"sqa3.png",3,1,"sqa",120,-120,"sqa0.png",1,"sqa",120,0,"left","left",1209,2272,2,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"7",289,0,1,2,3,4,0,0,5,0,0,19,59,79,"09-10-23","17:58:11","",728,"sqa1.png",1,1,"sqa",0,-120,"sqa3.png",3,1,"sqa",120,-120,"tri2.png",2,1,"tri",-120,0,"sqa1.png",1,1,"sqa",0,0,"cir5.png",5,1,"cir",0,120,"sqa0.png",1,"sqa",120,0,"left","left",1209,2272,3,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"8",290,3,0,2,1,0,5,0,4,0,0,19,59,79,"09-10-23","17:58:11","",728,"sqa1.png",1,1,"sqa",-120,0,"sqa3.png",3,1,"sqa",120,-120,"sqa1.png",1,1,"sqa",-120,-120,"cir5.png",5,1,"cir",0,120,"sqa3.png",3,1,"sqa",120,0,"sqa0.png",1,"sqa",120,0,"left","left",1209,2272,4,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"9",432,5,1,4,2,0,3,0,0,0,0,19,59,79,"28-09-23","10:03:31","hfpvcf",1801,"cir0.png",0,1,"cir",0,-120,"sqa0.png",0,1,"sqa",-120,0,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",120,-120,"cir0.png",0,1,"cir",-120,-120,"",NA,"",NA,NA,"right","left",1104,1199,1,1698480254443,"p3sarrshacol4.png","sarrshacol","new"
"10",433,0,0,2,3,5,4,1,0,0,0,19,59,79,"28-09-23","10:03:31","hfpvcf",1801,"tri0.png",0,1,"tri",-120,120,"tri0.png",0,1,"tri",120,-120,"sqa0.png",0,1,"sqa",-120,0,"tri0.png",0,1,"tri",120,0,"cir0.png",0,1,"cir",0,0,"",NA,"",NA,NA,"right","left",1104,1199,2,1698480254443,"p3sarrshacol4.png","sarrshacol","new"
