"","X","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_test_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",333,0,3,5,2,4,1,0,0,0,0,79,"19-09-23","12:08:50","m9hljr",2200,"tri0.png",0,1,"tri",120,0,"cir0.png",0,1,"cir",-120,0,"cir0.png",0,1,"cir",0,-120,"sqa0.png",0,1,"sqa",0,0,"sqa0.png",0,1,"sqa",120,-120,"",NA,"",NA,NA,"right",800,1,1697710166307,"p3sarrshacol4.png","sarrshacol","new"
"2",334,0,1,4,0,5,3,0,2,0,0,79,"19-09-23","12:08:50","m9hljr",2200,"tri0.png",0,1,"tri",0,-120,"sqa0.png",0,1,"sqa",0,120,"tri0.png",0,1,"tri",120,0,"tri0.png",0,1,"tri",120,-120,"cir0.png",0,1,"cir",0,0,"",NA,"",NA,NA,"right",800,2,1697710166307,"p3sarrshacol4.png","sarrshacol","new"
"3",335,0,2,0,0,1,4,5,0,3,0,79,"19-09-23","12:08:50","m9hljr",2200,"sqa0.png",0,1,"sqa",0,0,"cir0.png",0,1,"cir",0,-120,"tri0.png",0,1,"tri",120,120,"sqa0.png",0,1,"sqa",120,0,"cir0.png",0,1,"cir",-120,120,"",NA,"",NA,NA,"right",800,3,1697710166307,"p3sarrshacol4.png","sarrshacol","new"
"4",336,0,1,5,0,2,3,0,4,0,0,79,"19-09-23","12:08:50","m9hljr",2200,"tri0.png",6,1,"tri",0,-120,"tri0.png",0,1,"tri",0,0,"tri0.png",3,1,"tri",120,0,"sqa0.png",1,1,"sqa",0,120,"tri0.png",2,1,"tri",120,-120,"",NA,"",NA,NA,"right",800,4,1697710166307,"p3sarrshacol4.png","sarrshacol","new"
"5",418,0,1,3,0,5,2,0,4,0,0,79,"15-09-23","14:29:32","fb48kr",1333,"tri1.png",1,1,"tri",0,-120,"tri3.png",3,1,"tri",120,0,"tri3.png",3,1,"tri",120,-120,"sqa1.png",1,1,"sqa",0,120,"cir5.png",5,1,"cir",0,0,"",NA,"",NA,NA,"left",1667,1,1697372999372,"p3sarrshacol4.png","sarrshacol","new"
"6",419,0,3,5,1,4,2,0,0,0,0,79,"15-09-23","14:29:32","fb48kr",1333,"cir4.png",4,1,"cir",-120,0,"tri2.png",2,1,"tri",120,0,"cir5.png",5,1,"cir",0,-120,"sqa4.png",4,1,"sqa",0,0,"sqa6.png",6,1,"sqa",120,-120,"",NA,"",NA,NA,"left",1667,2,1697372999372,"p3sarrshacol4.png","sarrshacol","new"
"7",420,1,5,0,2,3,4,0,0,0,0,79,"15-09-23","14:29:32","fb48kr",1333,"sqa1.png",1,1,"sqa",-120,-120,"sqa6.png",6,1,"sqa",-120,0,"cir6.png",6,1,"cir",0,0,"tri2.png",2,1,"tri",120,0,"cir3.png",3,1,"cir",0,-120,"",NA,"",NA,NA,"left",1667,3,1697372999372,"p3sarrshacol4.png","sarrshacol","new"
"8",421,0,2,3,1,4,5,0,0,0,0,79,"15-09-23","14:29:32","fb48kr",1333,"tri4.png",4,1,"tri",-120,0,"tri6.png",6,1,"tri",0,-120,"tri1.png",1,1,"tri",120,-120,"cir4.png",4,1,"cir",0,0,"sqa2.png",2,1,"sqa",120,0,"",NA,"",NA,NA,"left",1667,4,1697372999372,"p3sarrshacol4.png","sarrshacol","new"
"9",503,0,2,4,0,5,3,1,0,0,0,79,"13-09-23","11:58:46","gsi47t",1910,"tri6.png",6,1,"tri",-120,120,"sqa4.png",4,1,"sqa",0,-120,"cir1.png",1,1,"cir",120,0,"sqa4.png",4,1,"sqa",120,-120,"tri2.png",2,1,"tri",0,0,"",NA,"",NA,NA,"down",1090,1,1697191182292,"p3sarrshacol4.png","sarrshacol","new"
"10",504,0,5,2,0,1,4,3,0,0,0,79,"13-09-23","11:58:46","gsi47t",1910,"cir2.png",2,1,"cir",0,0,"sqa4.png",4,1,"sqa",120,-120,"tri1.png",1,1,"tri",-120,120,"sqa4.png",4,1,"sqa",120,0,"tri6.png",6,1,"tri",0,-120,"",NA,"",NA,NA,"down",1090,2,1697191182292,"p3sarrshacol4.png","sarrshacol","new"
"11",505,0,5,2,0,3,1,4,0,0,0,79,"13-09-23","11:58:46","gsi47t",1910,"tri5.png",5,1,"tri",120,0,"cir1.png",1,1,"cir",120,-120,"sqa4.png",4,1,"sqa",0,0,"tri6.png",6,1,"tri",-120,120,"sqa4.png",4,1,"sqa",0,-120,"",NA,"",NA,NA,"down",1090,3,1697191182292,"p3sarrshacol4.png","sarrshacol","new"
"12",506,0,1,2,0,3,4,0,0,5,0,79,"13-09-23","11:58:46","gsi47t",1910,"tri6.png",6,1,"tri",0,-120,"sqa4.png",4,1,"sqa",120,-120,"tri6.png",6,1,"tri",0,0,"cir4.png",4,1,"cir",120,0,"cir1.png",1,1,"cir",120,120,"",NA,"",NA,NA,"down",1090,4,1697191182292,"p3sarrshacol4.png","sarrshacol","new"
"13",588,0,2,5,0,3,1,0,4,0,0,79,"12-09-23","18:01:02","oujjkl",1894,"tri0.png",0,1,"tri",120,0,"tri0.png",0,1,"tri",0,-120,"sqa0.png",0,1,"sqa",0,0,"tri0.png",0,1,"tri",0,120,"tri0.png",0,1,"tri",120,-120,"",NA,"",NA,NA,"left",1106,1,1697126476238,"p3sarrshacol4.png","sarrshacol","new"
"14",589,0,1,4,2,0,5,3,0,0,0,79,"12-09-23","18:01:02","oujjkl",1894,"cir0.png",0,1,"cir",0,-120,"cir0.png",0,1,"cir",-120,0,"tri0.png",0,1,"tri",-120,120,"sqa0.png",0,1,"sqa",120,-120,"tri0.png",0,1,"tri",120,0,"",NA,"",NA,NA,"left",1106,2,1697126476238,"p3sarrshacol4.png","sarrshacol","new"
"15",590,1,5,0,2,3,4,0,0,0,0,79,"12-09-23","18:01:02","oujjkl",1894,"sqa0.png",0,1,"sqa",-120,-120,"cir0.png",0,1,"cir",-120,0,"cir0.png",0,1,"cir",0,0,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",0,-120,"",NA,"",NA,NA,"left",1106,3,1697126476238,"p3sarrshacol4.png","sarrshacol","new"
"16",591,0,1,5,0,3,4,0,2,0,0,79,"12-09-23","18:01:02","oujjkl",1894,"tri0.png",0,1,"tri",0,-120,"cir0.png",0,1,"cir",0,120,"sqa0.png",0,1,"sqa",0,0,"sqa0.png",0,1,"sqa",120,0,"tri0.png",0,1,"tri",120,-120,"",NA,"",NA,NA,"left",1106,4,1697126476238,"p3sarrshacol4.png","sarrshacol","new"
"17",758,0,0,0,0,0,0,0,0,0,0,79,"12-09-23","13:58:36","uekghe",810,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"",NA,"",NA,NA,"right",2190,1,1697111939480,"p3sarrshacol4.png","sarrshacol","new"
"18",759,0,0,0,0,0,0,0,0,0,0,79,"12-09-23","13:58:36","uekghe",810,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"",NA,"",NA,NA,"right",2190,2,1697111939480,"p3sarrshacol4.png","sarrshacol","new"
"19",760,0,0,0,0,0,0,0,0,0,0,79,"12-09-23","13:58:36","uekghe",810,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"",NA,"",NA,NA,"right",2190,3,1697111939480,"p3sarrshacol4.png","sarrshacol","new"
"20",761,0,0,0,0,0,0,0,0,0,0,79,"12-09-23","13:58:36","uekghe",810,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"",NA,"",NA,NA,"right",2190,4,1697111939480,"p3sarrshacol4.png","sarrshacol","new"
"21",843,5,4,0,3,2,1,0,0,0,0,79,"11-09-23","14:23:31","t7oifc",1530,"tri4.png",4,1,"tri",120,0,"sqa6.png",6,1,"sqa",0,0,"cir6.png",6,1,"cir",-120,0,"sqa3.png",3,1,"sqa",0,-120,"cir1.png",1,1,"cir",-120,-120,"",NA,"",NA,NA,"down",1470,1,1697027042450,"p3sarrshacol4.png","sarrshacol","new"
