"X","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
142,0,1,4,3,0,2,5,0,0,0,19,59,79,"13-10-23","17:01:51","hsinls",2120,"cir0.png",0,1,"cir",0,-120,"tri0.png",0,1,"tri",120,0,"tri0.png",0,1,"tri",-120,0,"sqa0.png",0,1,"sqa",120,-120,"cir0.png",0,1,"cir",-120,120,"",NA,"",NA,NA,"left","left",747,880,1,1699891334881,"p3sarrshacol4.png","sarrshacol","new"
143,1,2,0,5,4,3,0,0,0,0,19,59,79,"13-10-23","17:01:51","hsinls",2120,"cir0.png",0,1,"cir",-120,-120,"cir0.png",0,1,"cir",0,-120,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",0,0,"sqa0.png",0,1,"sqa",-120,0,"",NA,"",NA,NA,"left","left",747,880,2,1699891334881,"p3sarrshacol4.png","sarrshacol","new"
144,0,3,5,2,4,1,0,0,0,0,19,59,79,"13-10-23","17:01:51","hsinls",2120,"sqa0.png",0,1,"sqa",120,0,"tri0.png",0,1,"tri",-120,0,"sqa0.png",0,1,"sqa",0,-120,"cir0.png",0,1,"cir",0,0,"cir0.png",0,1,"cir",120,-120,"",NA,"",NA,NA,"left","left",747,880,3,1699891334881,"p3sarrshacol4.png","sarrshacol","new"
145,0,1,4,0,3,5,0,2,0,0,19,59,79,"13-10-23","17:01:51","hsinls",2120,"tri0.png",0,1,"tri",0,-120,"sqa0.png",0,1,"sqa",0,120,"cir0.png",0,1,"cir",0,0,"tri0.png",0,1,"tri",120,-120,"tri0.png",0,1,"tri",120,0,"",NA,"",NA,NA,"left","left",747,880,4,1699891334881,"p3sarrshacol4.png","sarrshacol","new"
287,0,5,1,0,2,4,3,0,0,0,19,59,79,"12-10-23","21:08:13","gs16te",1062,"tri2.png",2,1,"tri",120,-120,"sqa2.png",2,1,"sqa",0,0,"cir1.png",1,1,"cir",-120,120,"tri4.png",4,1,"tri",120,0,"sqa3.png",3,1,"sqa",0,-120,"",NA,"",NA,NA,"right","left",1293,1938,1,1699819775953,"p3sarrshacol4.png","sarrshacol","new"
288,0,5,NA,4,2,3,1,0,0,0,19,59,79,"12-10-23","21:08:13","gs16te",1062,"cir1.png",1,1,"cir",-120,120,"tri2.png",2,1,"tri",0,0,"sqa6.png",6,1,"sqa",120,0,"cir2.png",2,1,"cir",-120,0,"tri4.png",4,1,"tri",0,-120,"sqa0.png",1,"sqa",120,-120,"right","left",1293,1938,2,1699819775953,"p3sarrshacol4.png","sarrshacol","new"
289,0,5,0,3,1,0,2,0,4,0,19,59,79,"12-10-23","21:08:13","gs16te",1062,"tri3.png",3,1,"tri",0,0,"sqa1.png",1,1,"sqa",-120,120,"sqa2.png",2,1,"sqa",-120,0,"cir1.png",1,1,"cir",120,120,"tri4.png",4,1,"tri",0,-120,"sqa0.png",1,"sqa",120,-120,"right","left",1293,1938,3,1699819775953,"p3sarrshacol4.png","sarrshacol","new"
290,0,0,1,4,3,2,0,0,5,0,19,59,79,"12-10-23","21:08:13","gs16te",1062,"sqa2.png",2,1,"sqa",120,-120,"sqa4.png",4,1,"sqa",120,0,"cir3.png",3,1,"cir",0,0,"tri1.png",1,1,"tri",-120,0,"cir1.png",1,1,"cir",120,120,"sqa0.png",1,"sqa",120,-120,"right","left",1293,1938,4,1699819775953,"p3sarrshacol4.png","sarrshacol","new"
432,0,4,3,0,1,5,0,2,0,0,19,59,79,"02-10-23","14:01:27","q8zajp",2026,"tri5.png",5,1,"tri",0,0,"sqa1.png",1,1,"sqa",0,120,"cir3.png",3,1,"cir",120,-120,"sqa1.png",1,1,"sqa",0,-120,"cir3.png",3,1,"cir",120,0,"",NA,"",NA,NA,"right","right",1146,974,1,1698930089257,"p3sarrshacol4.png","sarrshacol","new"
433,1,2,0,4,5,3,0,0,0,0,19,59,79,"02-10-23","14:01:27","q8zajp",2026,"cir3.png",3,1,"cir",-120,-120,"sqa3.png",3,1,"sqa",0,-120,"tri5.png",5,1,"tri",120,0,"cir6.png",6,1,"cir",-120,0,"sqa6.png",6,1,"sqa",0,0,"",NA,"",NA,NA,"right","right",1146,974,2,1698930089257,"p3sarrshacol4.png","sarrshacol","new"
434,0,3,1,2,0,5,4,0,0,0,19,59,79,"02-10-23","14:01:27","q8zajp",2026,"sqa4.png",4,1,"sqa",120,-120,"sqa4.png",4,1,"sqa",-120,0,"tri1.png",1,1,"tri",0,-120,"tri6.png",6,1,"tri",-120,120,"tri4.png",4,1,"tri",120,0,"",NA,"",NA,NA,"right","right",1146,974,3,1698930089257,"p3sarrshacol4.png","sarrshacol","new"
435,2,0,0,5,1,0,0,4,3,0,19,59,79,"02-10-23","14:01:27","q8zajp",2026,"tri5.png",5,1,"tri",0,0,"tri4.png",4,1,"tri",-120,-120,"tri1.png",1,1,"tri",120,120,"cir3.png",3,1,"cir",0,120,"sqa3.png",3,1,"sqa",-120,0,"",NA,"",NA,NA,"right","right",1146,974,4,1698930089257,"p3sarrshacol4.png","sarrshacol","new"
577,0,0,5,3,0,2,4,0,1,0,19,59,79,"30-09-23","11:04:09","noe6ck",751,"sqa0.png",0,1,"sqa",120,120,"tri0.png",0,1,"tri",120,0,"tri0.png",0,1,"tri",-120,0,"cir0.png",0,1,"cir",-120,120,"sqa0.png",0,1,"sqa",120,-120,"",NA,"",NA,NA,"right","right",984,2249,1,1698660323341,"p3sarrshacol4.png","sarrshacol","new"
578,0,0,3,0,4,2,5,1,0,0,19,59,79,"30-09-23","11:04:09","noe6ck",751,"sqa0.png",0,1,"sqa",0,120,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",120,-120,"tri0.png",0,1,"tri",0,0,"cir0.png",0,1,"cir",-120,120,"",NA,"",NA,NA,"right","right",984,2249,2,1698660323341,"p3sarrshacol4.png","sarrshacol","new"
579,3,0,0,1,2,4,5,0,0,0,19,59,79,"30-09-23","11:04:09","noe6ck",751,"sqa4.png",4,1,"sqa",-120,0,"cir0.png",0,1,"cir",0,0,"cir6.png",6,1,"cir",-120,-120,"sqa0.png",0,1,"sqa",120,0,"cir0.png",0,1,"cir",-120,120,"",NA,"",NA,NA,"right","right",984,2249,3,1698660323341,"p3sarrshacol4.png","sarrshacol","new"
